Part of NAICS US,2017NAICSUS  ,2017 NAICS US TITLE,Part of ISIC,ISIC 4.0,ISIC Revision 4.0 Title,"Notes:  link content based on NAICS definition, entire NAICS industry if blank",ISIC 4.02,UID,#NAICS,#ISIC,Comments,#NAICS matches,#ISIC matches
,312112,Bottled Water Manufacturing,*,1104,Manufacture of soft drinks; production of mineral waters and other bottled waters, ,1104,F4.0283,NAICS-312112,ISIC-1104,,1,1
,312113,Ice Manufacturing,*,3530,Steam and air conditioning supply, ,3530,F4.0284,NAICS-312113,ISIC-3530,,1,1
,312120,Breweries,*,1103,Manufacture of malt liquors and malt, ,1103,F4.0285,NAICS-312120,ISIC-1103,,1,1
*,312130,Wineries,*,1101,"Distilling, rectifying and blending of spirits",brandies and fruit spirits,1101,F4.0286,NAICS-312130,ISIC-1101,,1,1
*,312130,Wineries,,1102,Manufacture of wines,except brandies and fruit spirits,1102,F4.0287,NAICS-312130,ISIC-1102,,1,1
*,312140,Distilleries,*,1101,"Distilling, rectifying and blending of spirits",except potable ethyl alcohol,1101,F4.0288,NAICS-312140,ISIC-1101,,1,1
*,312140,Distilleries,*,2011,Manufacture of basic chemicals,potable ethyl alcohol,2011,F4.0289,NAICS-312140,ISIC-2011,,1,1
,312230,Tobacco Manufacturing,,1200,Manufacture of tobacco products, ,1200,F4.0290,NAICS-312230,ISIC-1200,,1,1
,313110,"Fiber, Yarn, and Thread Mills",*,1311,Preparation and spinning of textile fibres, ,1311,F4.0291,NAICS-313110,ISIC-1311,,1,1
*,313210,Broadwoven Fabric Mills,,1312,Weaving of textiles,except artificial fur on woven base,1312,F4.0292,NAICS-313210,ISIC-1312,,1,1
*,313210,Broadwoven Fabric Mills,*,1420,Manufacture of articles of fur,artificial fur on woven base,1420,F4.0293,NAICS-313210,ISIC-1420,,1,1
,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,*,1399,Manufacture of other textiles n.e.c., ,1399,F4.0294,NAICS-313220,ISIC-1399,,1,1
,313230,Nonwoven Fabric Mills,*,1399,Manufacture of other textiles n.e.c., ,1399,F4.0295,NAICS-313230,ISIC-1399,,1,1
*,313240,Knit Fabric Mills,,1391,Manufacture of knitted and crocheted fabrics,"knitted and crocheted fabrics and knit lace, except finishing",1391,F4.0296,NAICS-313240,ISIC-1391,,1,1
*,313240,Knit Fabric Mills,*,1399,Manufacture of other textiles n.e.c.,"lace and lace products except knit lace, except finishing",1399,F4.0297,NAICS-313240,ISIC-1399,,1,1
*,313240,Knit Fabric Mills,*,1420,Manufacture of articles of fur,artificial fur on knit base,1420,F4.0298,NAICS-313240,ISIC-1420,,1,1
*,313310,Textile and Fabric Finishing Mills,*,1311,Preparation and spinning of textile fibres,preparation of fibers,1311,F4.0299,NAICS-313310,ISIC-1311,,1,1
*,313310,Textile and Fabric Finishing Mills,*,1313,Finishing of textiles,except preparation of fibers,1313,F4.0300,NAICS-313310,ISIC-1313,,1,1
*,313320,Fabric Coating Mills,*,1313,Finishing of textiles,except rubberizing fabric,1313,F4.0301,NAICS-313320,ISIC-1313,,1,1
*,313320,Fabric Coating Mills,*,2219,Manufacture of other rubber products,rubberized fabric,2219,F4.0302,NAICS-313320,ISIC-2219,,1,1
,314110,Carpet and Rug Mills,*,1393,Manufacture of carpets and rugs, ,1393,F4.0303,NAICS-314110,ISIC-1393,,1,1
*,314120,Curtain and Linen Mills,*,1392,"Manufacture of made-up textile articles, except apparel",except plastics shower curtains and table cloths made from purchased materials,1392,F4.0304,NAICS-314120,ISIC-1392,,1,1
*,314120,Curtain and Linen Mills,*,2220,Manufacture of plastics products,plastics shower curtains and table cloths made from purchased materials,2220,F4.0305,NAICS-314120,ISIC-2220,,1,1
*,314910,Textile Bag and Canvas Mills,*,1392,"Manufacture of made-up textile articles, except apparel",except plastics blanket bags,1392,F4.0306,NAICS-314910,ISIC-1392,,1,1
*,314910,Textile Bag and Canvas Mills,*,1512,"Manufacture of luggage, handbags and the like, saddlery and harness",plastics blanket bags - sewn,1512,F4.0307,NAICS-314910,ISIC-1512,,1,1
*,314910,Textile Bag and Canvas Mills,*,2220,Manufacture of plastics products,plastics blanket bags - heat seamed,2220,F4.0308,NAICS-314910,ISIC-2220,,1,1
*,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",*,1394,"Manufacture of cordage, rope, twine and netting",except tire cord and tire fabric,1394,F4.0309,NAICS-314994,ISIC-1394,,1,1
*,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",*,1399,Manufacture of other textiles n.e.c.,tire cord and tire fabric,1399,F4.0310,NAICS-314994,ISIC-1399,,1,1
*,314999,All Other Miscellaneous Textile Product Mills,*,1311,Preparation and spinning of textile fibres,processing textile mill waste,1311,F4.0311,NAICS-314999,ISIC-1311,,1,1
*,314999,All Other Miscellaneous Textile Product Mills,*,1313,Finishing of textiles,"embroidery, decorative stitching, dyeing, etc. on textile articles and apparel",1313,F4.0312,NAICS-314999,ISIC-1313,,1,1
*,314999,All Other Miscellaneous Textile Product Mills,*,1392,"Manufacture of made-up textile articles, except apparel","miscellaneous textile products, such as dust cloths, sleeping bags, etc.",1392,F4.0313,NAICS-314999,ISIC-1392,,1,1
*,314999,All Other Miscellaneous Textile Product Mills,*,1393,Manufacture of carpets and rugs,"rug binding for the trade and carpet cutting, carpets made from purchased fabric",1393,F4.0314,NAICS-314999,ISIC-1393,,1,1
*,314999,All Other Miscellaneous Textile Product Mills,*,1394,"Manufacture of cordage, rope, twine and netting",knotted rope net products made from purchased rope,1394,F4.0315,NAICS-314999,ISIC-1394,,1,1
*,314999,All Other Miscellaneous Textile Product Mills,*,1399,Manufacture of other textiles n.e.c.,"bats, batting, upholstery filling, textile fire hose, and similar industrial textile products; powder puffs and mitts",1399,F4.0316,NAICS-314999,ISIC-1399,,1,1
*,314999,All Other Miscellaneous Textile Product Mills,*,1410,"Manufacture of wearing apparel, except fur apparel",cloth diapers ,1410,F4.0317,NAICS-314999,ISIC-1410,,1,1
,315110,Hosiery and Sock Mills,*,1430,Manufacture of knitted and crocheted apparel, ,1430,F4.0318,NAICS-315110,ISIC-1430,,1,1
,315190,Other Apparel Knitting Mills,*,1430,Manufacture of knitted and crocheted apparel, ,1430,F4.0319,NAICS-315190,ISIC-1430,,1,1
*,315210,Cut and Sew Apparel Contractors,*,1410,"Manufacture of wearing apparel, except fur apparel",cutting and sewing contractors except for fur apparel,1410,F4.0320,NAICS-315210,ISIC-1410,,1,1
*,315210,Cut and Sew Apparel Contractors,*,1420,Manufacture of articles of fur,cutting and sewing contractors for fur apparel,1420,F4.0321,NAICS-315210,ISIC-1420,,1,1
,315220,Men's and Boys' Cut and Sew Apparel Manufacturing,*,1410,"Manufacture of wearing apparel, except fur apparel", ,1410,F4.0322,NAICS-315220,ISIC-1410,,1,1
*,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",*,1410,"Manufacture of wearing apparel, except fur apparel",except artificial fur coats,1410,F4.0323,NAICS-315240,ISIC-1410,,1,1
*,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",*,1420,Manufacture of articles of fur,cut and sew artificial fur coats,1420,F4.0324,NAICS-315240,ISIC-1420,,1,1
*,315280,Other Cut and Sew Apparel Manufacturing,*,1410,"Manufacture of wearing apparel, except fur apparel",except fur apparel,1410,F4.0325,NAICS-315280,ISIC-1410,,1,1
*,315280,Other Cut and Sew Apparel Manufacturing,*,1420,Manufacture of articles of fur,fur apparel (except hats),1420,F4.0326,NAICS-315280,ISIC-1420,,1,1
*,315990,Apparel Accessories and Other Apparel Manufacturing,*,1399,Manufacture of other textiles n.e.c.,"hat, cap, apparel, umbrella, and similar trimmings made from purchased fabrics",1399,F4.0327,NAICS-315990,ISIC-1399,,1,1
*,315990,Apparel Accessories and Other Apparel Manufacturing,*,1410,"Manufacture of wearing apparel, except fur apparel","except fur gloves and mittens; rubber bathing caps and aprons; and hat, cap, umbrella, and similar trimmings made from purchased fabrics",1410,F4.0328,NAICS-315990,ISIC-1410,,1,1
*,315990,Apparel Accessories and Other Apparel Manufacturing,*,1420,Manufacture of articles of fur,fur gloves and mittens,1420,F4.0329,NAICS-315990,ISIC-1420,,1,1
*,315990,Apparel Accessories and Other Apparel Manufacturing,*,2219,Manufacture of other rubber products,rubber bathing caps and aprons,2219,F4.0330,NAICS-315990,ISIC-2219,,1,1
,316110,Leather and Hide Tanning and Finishing,,1511,Tanning and dressing of leather; dressing and dyeing of fur, ,1511,F4.0331,NAICS-316110,ISIC-1511,,1,1
,316210,Footwear Manufacturing,*,1520,Manufacture of footwear, ,1520,F4.0332,NAICS-316210,ISIC-1520,,1,1
,316992,Women's Handbag and Purse Manufacturing,*,1512,"Manufacture of luggage, handbags and the like, saddlery and harness", ,1512,F4.0333,NAICS-316992,ISIC-1512,,1,1
*,316998,All Other Leather Good and Allied Product Manufacturing ,*,1410,"Manufacture of wearing apparel, except fur apparel",leather industrial work accessories; protective leather garments,1410,F4.0334,NAICS-316998,ISIC-1410,,1,1
*,316998,All Other Leather Good and Allied Product Manufacturing ,*,1512,"Manufacture of luggage, handbags and the like, saddlery and harness","except leather garments and leather footwear cut stock (uppers, soles, etc.)",1512,F4.0335,NAICS-316998,ISIC-1512,,1,1
*,316998,All Other Leather Good and Allied Product Manufacturing ,*,1520,Manufacture of footwear,"footwear cut stock (uppers, soles, etc.)",1520,F4.0336,NAICS-316998,ISIC-1520,,1,1
*,321113,Sawmills,*,1610,Sawmilling and planing of wood,except shingles and shakes made in sawmills,1610,F4.0337,NAICS-321113,ISIC-1610,,1,1
*,321113,Sawmills,*,1622,Manufacture of builders' carpentry and joinery,shingles and shakes made in sawmills,1622,F4.0338,NAICS-321113,ISIC-1622,,1,1
,321114,Wood Preservation,*,1610,Sawmilling and planing of wood, ,1610,F4.0339,NAICS-321114,ISIC-1610,,1,1
,321211,Hardwood Veneer and Plywood Manufacturing,*,1621,Manufacture of veneer sheets and wood-based panels, ,1621,F4.0340,NAICS-321211,ISIC-1621,,1,1
,321212,Softwood Veneer and Plywood Manufacturing,*,1621,Manufacture of veneer sheets and wood-based panels, ,1621,F4.0341,NAICS-321212,ISIC-1621,,1,1
*,321213,Engineered Wood Member (except Truss) Manufacturing,*,1621,Manufacture of veneer sheets and wood-based panels,LVL (laminated veneer lumber) and similar,1621,F4.0342,NAICS-321213,ISIC-1621,,1,1
*,321213,Engineered Wood Member (except Truss) Manufacturing,*,1622,Manufacture of builders' carpentry and joinery,"fabricated wood I-joists, and similar fabricated engineered wood members",1622,F4.0343,NAICS-321213,ISIC-1622,,1,1
,321214,Truss Manufacturing,*,1622,Manufacture of builders' carpentry and joinery, ,1622,F4.0344,NAICS-321214,ISIC-1622,,1,1
,321219,Reconstituted Wood Product Manufacturing,*,1621,Manufacture of veneer sheets and wood-based panels, ,1621,F4.0345,NAICS-321219,ISIC-1621,,1,1
,321911,Wood Window and Door Manufacturing,*,1622,Manufacture of builders' carpentry and joinery, ,1622,F4.0346,NAICS-321911,ISIC-1622,,1,1
*,321912,"Cut Stock, Resawing Lumber, and Planing",*,1610,Sawmilling and planing of wood,"cutting, resawing, or planing lumber initially cut in other locations",1610,F4.0347,NAICS-321912,ISIC-1610,,1,1
*,321912,"Cut Stock, Resawing Lumber, and Planing",*,1622,Manufacture of builders' carpentry and joinery,"dimension lumber (i.e. building lumber or solid wood structural members) made by cutting, resawing, or planing purchased rough lumber",1622,F4.0348,NAICS-321912,ISIC-1622,,1,1
*,321912,"Cut Stock, Resawing Lumber, and Planing",*,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",blocks for the manufacture of smoking pipes ,1629,F4.0349,NAICS-321912,ISIC-1629,,1,1
*,321918,Other Millwork (including Flooring),*,1610,Sawmilling and planing of wood,"wood flooring, strip",1610,F4.0350,NAICS-321918,ISIC-1610,,1,1
*,321918,Other Millwork (including Flooring),*,1622,Manufacture of builders' carpentry and joinery,except strip wood flooring,1622,F4.0351,NAICS-321918,ISIC-1622,,1,1
*,321920,Wood Container and Pallet Manufacturing,*,1623,Manufacture of wooden containers,except wooden jewelry boxes,1623,F4.0352,NAICS-321920,ISIC-1623,,1,1
*,321920,Wood Container and Pallet Manufacturing,*,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","jewelry boxes, wood or part wood",1629,F4.0353,NAICS-321920,ISIC-1629,,1,1
,321991,Manufactured Home (Mobile Home) Manufacturing,*,1622,Manufacture of builders' carpentry and joinery, ,1622,F4.0354,NAICS-321991,ISIC-1622,,1,1
,321992,Prefabricated Wood Building Manufacturing,*,1622,Manufacture of builders' carpentry and joinery, ,1622,F4.0355,NAICS-321992,ISIC-1622,,1,1
*,321999,All Other Miscellaneous Wood Product Manufacturing,*,1610,Sawmilling and planing of wood,"excelsior, wood wool, kiln drying of lumber",1610,F4.0356,NAICS-321999,ISIC-1610,,1,1
*,321999,All Other Miscellaneous Wood Product Manufacturing,*,1623,Manufacture of wooden containers,wooden cable reels (cable drums),1623,F4.0357,NAICS-321999,ISIC-1623,,1,1
*,321999,All Other Miscellaneous Wood Product Manufacturing,*,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","except excelsior, wood wool, kiln drying of lumber, cable drums, plastic shoe lasts, and furniture",1629,F4.0358,NAICS-321999,ISIC-1629,,1,1
*,321999,All Other Miscellaneous Wood Product Manufacturing,*,2220,Manufacture of plastics products,plastic shoe lasts,2220,F4.0359,NAICS-321999,ISIC-2220,,1,1
*,321999,All Other Miscellaneous Wood Product Manufacturing,*,3100,Manufacture of furniture,"wood television, radio, and sewing machine cabinets",3100,F4.0360,NAICS-321999,ISIC-3100,,1,1
,322110,Pulp Mills,*,1701,"Manufacture of pulp, paper and paperboard", ,1701,F4.0361,NAICS-322110,ISIC-1701,,1,1
*,322121,Paper (except Newsprint) Mills,*,1701,"Manufacture of pulp, paper and paperboard",paper mills,1701,F4.0362,NAICS-322121,ISIC-1701,,1,1
*,322121,Paper (except Newsprint) Mills,*,1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,corrugated paper or paperboard or containers made in paper mills,1702,F4.0363,NAICS-322121,ISIC-1702,,1,1
*,322121,Paper (except Newsprint) Mills,*,1709,Manufacture of other articles of paper and paperboard,other articles of paper made in paper mills,1709,F4.0364,NAICS-322121,ISIC-1709,,1,1
*,322121,Paper (except Newsprint) Mills,*,2399,Manufacture of other non-metallic mineral products n.e.c.,tar paper made in paper mills,2399,F4.0365,NAICS-322121,ISIC-2399,,1,1
,322122,Newsprint Mills,*,1701,"Manufacture of pulp, paper and paperboard", ,1701,F4.0366,NAICS-322122,ISIC-1701,,1,1
*,322130,Paperboard Mills,*,1701,"Manufacture of pulp, paper and paperboard",paperboard ,1701,F4.0367,NAICS-322130,ISIC-1701,,1,1
*,322130,Paperboard Mills,*,1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,corrugated paperboard or containers made in paperboard mills,1702,F4.0368,NAICS-322130,ISIC-1702,,1,1
*,322130,Paperboard Mills,*,1709,Manufacture of other articles of paper and paperboard,other articles of paper made in paperboard mills,1709,F4.0369,NAICS-322130,ISIC-1709,,1,1
,322211,Corrugated and Solid Fiber Box Manufacturing,*,1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard, ,1702,F4.0370,NAICS-322211,ISIC-1702,,1,1
,322212,Folding Paperboard Box Manufacturing,*,1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard, ,1702,F4.0371,NAICS-322212,ISIC-1702,,1,1
*,322219,Other Paperboard Container Manufacturing ,*,1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,"except cones, bobbins, spools, paper cups, dishes, straws, etc. made from purchased paper or paperboard",1702,F4.0372,NAICS-322219,ISIC-1702,,1,1
*,322219,Other Paperboard Container Manufacturing ,*,1709,Manufacture of other articles of paper and paperboard,"cones, bobbins, spools, paper cups, dishes, straws, etc. made from purchased paper or paperboard",1709,F4.0373,NAICS-322219,ISIC-1709,,1,1
*,322220,Paper Bag and Coated and Treated Paper Manufacturing,*,1399,Manufacture of other textiles n.e.c.,pressure-sensitive cloth tape,1399,F4.0374,NAICS-322220,ISIC-1399,,1,1
*,322220,Paper Bag and Coated and Treated Paper Manufacturing,*,1701,"Manufacture of pulp, paper and paperboard","laminating purchased foil and purchased paper, paper as primary component; coating and laminating paper for other than packaging uses; coating purchased paperboard",1701,F4.0375,NAICS-322220,ISIC-1701,,1,1
*,322220,Paper Bag and Coated and Treated Paper Manufacturing,*,1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,except foil bags,1702,F4.0376,NAICS-322220,ISIC-1702,,1,1
*,322220,Paper Bag and Coated and Treated Paper Manufacturing,*,1709,Manufacture of other articles of paper and paperboard,"labels, gummed stock (including printing done at the same establishment), wallpaper, paper pressure sensitive tape, and chipboard, coated or laminated, made from purchased paperboard",1709,F4.0377,NAICS-322220,ISIC-1709,,1,1
*,322220,Paper Bag and Coated and Treated Paper Manufacturing,*,2220,Manufacture of plastics products,"vinyl wallpaper, plastic wallpaper, plastics self-adhesive tape",2220,F4.0378,NAICS-322220,ISIC-2220,,1,1
*,322220,Paper Bag and Coated and Treated Paper Manufacturing,*,2420,Manufacture of basic precious and other non-ferrous metals,"aluminum foil laminates made from purchased aluminum, foil as primary component; precious metal foil laminates made from purchased foil; laminating purchased foil and paper for packaging uses, foil as primary component",2420,F4.0379,NAICS-322220,ISIC-2420,,1,1
*,322220,Paper Bag and Coated and Treated Paper Manufacturing,*,2599,Manufacture of other fabricated metal products n.e.c.,foil bags,2599,F4.0380,NAICS-322220,ISIC-2599,,1,1
,322230,Stationery Product Manufacturing,*,1709,Manufacture of other articles of paper and paperboard, ,1709,F4.0381,NAICS-322230,ISIC-1709,,1,1
,322291,Sanitary Paper Product Manufacturing,*,1709,Manufacture of other articles of paper and paperboard, ,1709,F4.0382,NAICS-322291,ISIC-1709,,1,1
*,322299,All Other Converted Paper Product Manufacturing,*,1701,"Manufacture of pulp, paper and paperboard",crepe paper (or crinkling paper) made from purchased paper,1701,F4.0383,NAICS-322299,ISIC-1701,,1,1
*,322299,All Other Converted Paper Product Manufacturing,*,1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,die-cut paper products (except office use) made from purchased paper or paperboard,1702,F4.0384,NAICS-322299,ISIC-1702,,1,1
*,322299,All Other Converted Paper Product Manufacturing,*,1709,Manufacture of other articles of paper and paperboard,except crepe paper and die-cut paper products (except office use) made from purchased paper,1709,F4.0385,NAICS-322299,ISIC-1709,,1,1
*,323111,Commercial Printing (except Screen and Books),*,1709,Manufacture of other articles of paper and paperboard,except printing only of looseleaf fillers and looseleaf binding fittings,1709,F4.0386,NAICS-323111,ISIC-1709,,1,1
*,323111,Commercial Printing (except Screen and Books),*,1811,Printing,"lithographic, gravure, flexographic, digital, quick, and other commercial printing, except screen and books; printing manifold business forms and looseleaf fillers",1811,F4.0387,NAICS-323111,ISIC-1811,,1,1
*,323111,Commercial Printing (except Screen and Books),*,2599,Manufacture of other fabricated metal products n.e.c.,looseleaf binding fittings,2599,F4.0388,NAICS-323111,ISIC-2599,,1,1
*,323111,Commercial Printing (except Screen and Books),*,8219,"Photocopying, document preparation and other specialized office support activities","quick printing combined with photocopy services, photocopy primary",8219,F4.0389,NAICS-323111,ISIC-8219,,1,1
*,323113,Commercial Screen Printing,*,1313,Finishing of textiles,"screen printing on made up textile products, including apparel",1313,F4.0390,NAICS-323113,ISIC-1313,,1,1
*,323113,Commercial Screen Printing,*,1811,Printing,except screen printing on made up textile products and apparel,1811,F4.0391,NAICS-323113,ISIC-1811,,1,1
,323117,Books Printing,*,1811,Printing, ,1811,F4.0392,NAICS-323117,ISIC-1811,,1,1
,323120,Support Activities for Printing,,1812,Service activities related to printing, ,1812,F4.0393,NAICS-323120,ISIC-1812,,1,1
,324110,Petroleum Refineries,*,1920,Manufacture of refined petroleum products, ,1920,F4.0394,NAICS-324110,ISIC-1920,,1,1
,324121,Asphalt Paving Mixture and Block Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c., ,2399,F4.0395,NAICS-324121,ISIC-2399,,1,1
,324122,Asphalt Shingle and Coating Materials Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c., ,2399,F4.0396,NAICS-324122,ISIC-2399,,1,1
,324191,Petroleum Lubricating Oil and Grease Manufacturing,*,1920,Manufacture of refined petroleum products, ,1920,F4.0397,NAICS-324191,ISIC-1920,,1,1
*,324199,All Other Petroleum and Coal Products Manufacturing,*,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",fire logs made of pressed wood and purchased refined petroleum binders,1629,F4.0398,NAICS-324199,ISIC-1629,,1,1
*,324199,All Other Petroleum and Coal Products Manufacturing,*,1910,Manufacture of coke oven products,"coke oven products, such as coke, gasses, tar",1910,F4.0399,NAICS-324199,ISIC-1910,,1,1
*,324199,All Other Petroleum and Coal Products Manufacturing,*,1920,Manufacture of refined petroleum products,except coke oven products and fire logs made of pressed wood with purchased petroleum binders,1920,F4.0400,NAICS-324199,ISIC-1920,,1,1
*,325110,Petrochemical Manufacturing,*,1920,Manufacture of refined petroleum products,manufacture of paraffin and similar from purchased refined petroleum in petrochemical plants,1920,F4.0401,NAICS-325110,ISIC-1920,,1,1
*,325110,Petrochemical Manufacturing,*,2011,Manufacture of basic chemicals,except manufacture of paraffin and similar from purchased refined petroleum in petrochemical plants,2011,F4.0402,NAICS-325110,ISIC-2011,,1,1
,325120,Industrial Gas Manufacturing,*,2011,Manufacture of basic chemicals, ,2011,F4.0403,NAICS-325120,ISIC-2011,,1,1
,325130,Synthetic Dye and Pigment Manufacturing,*,2011,Manufacture of basic chemicals, ,2011,F4.0404,NAICS-325130,ISIC-2011,,1,1
*,325180,Other Basic Inorganic Chemical Manufacturing,*,2011,Manufacture of basic chemicals,"except ammonium chloride and other ammonium compounds not specified elsewhere, potassium nitrate, etc.",2011,F4.0405,NAICS-325180,ISIC-2011,,1,1
*,325180,Other Basic Inorganic Chemical Manufacturing,*,2012,Manufacture of fertilizers and nitrogen compounds,"ammonium chloride and other ammonium compounds not specified elsewhere, potassium nitrate, etc.",2012,F4.0406,NAICS-325180,ISIC-2012,,1,1
,325193,Ethyl Alcohol Manufacturing,*,2011,Manufacture of basic chemicals, ,2011,F4.0407,NAICS-325193,ISIC-2011,,1,1
*,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",*,1910,Manufacture of coke oven products,coal tar distillates  ,1910,F4.0408,NAICS-325194,ISIC-1910,,1,1
*,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",*,2011,Manufacture of basic chemicals,except prepared water pigments for finishing leather and coal tar distillates,2011,F4.0409,NAICS-325194,ISIC-2011,,1,1
*,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",*,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",prepared water pigments for finishing leather ,2022,F4.0410,NAICS-325194,ISIC-2022,,1,1
*,325199,All Other Basic Organic Chemical Manufacturing,*,2011,Manufacture of basic chemicals,"except synthetic plasticizer compounds, synthetic accelerators, synthetic essential oils, naphthenic acid soaps, and salicylic acid (nonmedicinal)",2011,F4.0411,NAICS-325199,ISIC-2011,,1,1
*,325199,All Other Basic Organic Chemical Manufacturing,*,2029,Manufacture of other chemical products n.e.c.,"synthetic plasticizer compounds, synthetic accelerators, synthetic essential oils, naphthenic acid soaps",2029,F4.0412,NAICS-325199,ISIC-2029,,1,1
*,325199,All Other Basic Organic Chemical Manufacturing,*,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",salicylic acid (nonmedicinal),2100,F4.0413,NAICS-325199,ISIC-2100,,1,1
,325211,Plastics Material and Resin Manufacturing,*,2013,Manufacture of plastics and synthetic rubber in primary forms, ,2013,F4.0414,NAICS-325211,ISIC-2013,,1,1
,325212,Synthetic Rubber Manufacturing,*,2013,Manufacture of plastics and synthetic rubber in primary forms, ,2013,F4.0415,NAICS-325212,ISIC-2013,,1,1
*,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,,2030,Manufacture of man-made fibres,except cellophane film or sheet,2030,F4.0416,NAICS-325220,ISIC-2030,,1,1
*,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,*,2220,Manufacture of plastics products,cellophane film or sheet,2220,F4.0417,NAICS-325220,ISIC-2220,,1,1
,325311,Nitrogenous Fertilizer Manufacturing,*,2012,Manufacture of fertilizers and nitrogen compounds, ,2012,F4.0418,NAICS-325311,ISIC-2012,,1,1
*,325312,Phosphatic Fertilizer Manufacturing,*,2011,Manufacture of basic chemicals,phosphoric acid,2011,F4.0419,NAICS-325312,ISIC-2011,,1,1
*,325312,Phosphatic Fertilizer Manufacturing,*,2012,Manufacture of fertilizers and nitrogen compounds,except phosphoric acid,2012,F4.0420,NAICS-325312,ISIC-2012,,1,1
,325314,Fertilizer (Mixing Only) Manufacturing,*,2012,Manufacture of fertilizers and nitrogen compounds, ,2012,F4.0421,NAICS-325314,ISIC-2012,,1,1
,325320,Pesticide and Other Agricultural Chemical Manufacturing,*,2021,Manufacture of pesticides and other agrochemical products, ,2021,F4.0422,NAICS-325320,ISIC-2021,,1,1
,325411,Medicinal and Botanical Manufacturing,*,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products", ,2100,F4.0423,NAICS-325411,ISIC-2100,,1,1
,325412,Pharmaceutical Preparation Manufacturing,*,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products", ,2100,F4.0424,NAICS-325412,ISIC-2100,,1,1
*,325413,In-Vitro Diagnostic Substance Manufacturing,*,2029,Manufacture of other chemical products n.e.c.,diagnostic reagents ,2029,F4.0425,NAICS-325413,ISIC-2029,,1,1
*,325413,In-Vitro Diagnostic Substance Manufacturing,*,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",except diagnostic reagents,2100,F4.0426,NAICS-325413,ISIC-2100,,1,1
,325414,Biological Product (except Diagnostic) Manufacturing,*,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products", ,2100,F4.0427,NAICS-325414,ISIC-2100,,1,1
,325510,Paint and Coating Manufacturing,*,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics", ,2022,F4.0428,NAICS-325510,ISIC-2022,,1,1
*,325520,Adhesive Manufacturing,*,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",except glues,2022,F4.0429,NAICS-325520,ISIC-2022,,1,1
*,325520,Adhesive Manufacturing,*,2029,Manufacture of other chemical products n.e.c.,glues,2029,F4.0430,NAICS-325520,ISIC-2029,,1,1
,325611,Soap and Other Detergent Manufacturing,*,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes, and toilet preparations", ,2023,F4.0431,NAICS-325611,ISIC-2023,,1,1
*,325612,Polish and Other Sanitation Good Manufacturing,*,2011,Manufacture of basic chemicals,household lye,2011,F4.0432,NAICS-325612,ISIC-2011,,1,1
*,325612,Polish and Other Sanitation Good Manufacturing,*,2021,Manufacture of pesticides and other agrochemical products,household and industrial disinfectants,2021,F4.0433,NAICS-325612,ISIC-2021,,1,1
*,325612,Polish and Other Sanitation Good Manufacturing,*,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes, and toilet preparations","except household and industrial disinfectants, household lye, and laundry starch",2023,F4.0434,NAICS-325612,ISIC-2023,,1,1
*,325612,Polish and Other Sanitation Good Manufacturing,*,2029,Manufacture of other chemical products n.e.c.,laundry starch,2029,F4.0435,NAICS-325612,ISIC-2029,,1,1
